ID;DT_NOTIFIC;UMIDADE;TEMPERATURA;REGIAO
A187;10/02/2007;72;21,18;Ponta Grossa
A188;11/02/2007;53;21,06;Ponta Grossa
A189;12/02/2007;50;17,95;Ponta Grossa
A190;13/02/2007;44;17,29;Ponta Grossa
A191;14/02/2007;48;18,81;Ponta Grossa
A192;15/02/2007;46;20,17;Ponta Grossa
A193;16/02/2007;43;21,57;Ponta Grossa
A194;17/02/2007;49;22,46;Ponta Grossa
A195;18/02/2007;65;21,74;Ponta Grossa
A196;20/02/2007;72;19,72;Ponta Grossa
A197;21/02/2007;64;20,95;Ponta Grossa
A198;22/02/2007;50;23,11;Ponta Grossa
A199;23/02/2007;33;23,45;Ponta Grossa
A200;24/02/2007;40;22,73;Ponta Grossa
A201;25/02/2007;55;21,39;Ponta Grossa
A202;26/02/2007;54;19,33;Ponta Grossa
A203;27/02/2007;55;20,57;Ponta Grossa
A204;28/02/2007;45;21,98;Ponta Grossa
A205;01/03/2007;53;21,03;Ponta Grossa
A206;02/03/2007;58;20,91;Ponta Grossa
A207;04/03/2007;42;22,32;Ponta Grossa
A208;05/03/2007;37;22,09;Ponta Grossa
A209;06/03/2007;29;22,71;Ponta Grossa
A210;07/03/2007;29;22,08;Ponta Grossa
A211;08/03/2007;42;22,35;Ponta Grossa
A212;09/03/2007;39;21,68;Ponta Grossa
A213;10/03/2007;47;20,92;Ponta Grossa
A214;11/03/2007;62;19,55;Ponta Grossa
A215;12/03/2007;66;19,74;Ponta Grossa
A216;13/03/2007;63;20,29;Ponta Grossa
A217;14/03/2007;57;20,91;Ponta Grossa
A218;15/03/2007;57;20,62;Ponta Grossa
A219;16/03/2007;50;20,97;Ponta Grossa
A220;17/03/2007;80;19,02;Ponta Grossa
A221;18/03/2007;61;20,11;Ponta Grossa
A222;19/03/2007;35;18,37;Ponta Grossa
A223;20/03/2007;44;0,18;Ponta Grossa
A224;21/03/2007;39;0,19;Ponta Grossa
A225;22/03/2007;34;19,78;Ponta Grossa
A226;23/03/2007;41;19,62;Ponta Grossa
A227;24/03/2007;43;20,53;Ponta Grossa
A228;25/03/2007;34;21,93;Ponta Grossa
A229;26/03/2007;35;21,89;Ponta Grossa
A230;27/03/2007;31;22,33;Ponta Grossa
A231;28/03/2007;32;23,04;Ponta Grossa
A232;29/03/2007;25;23,43;Ponta Grossa
A233;30/03/2007;33;22,54;Ponta Grossa
A234;31/03/2007;31;22,32;Ponta Grossa
A235;01/04/2007;55;19,57;Ponta Grossa
